Subject,time,CC_n,CE_n,IC_n,IE_n,NC_n,NE_n
1,1,0,0,0,0,0,0
1,21,0,0,0,0,0,0
1,41,0,0,0,0,0,0
1,61,0,0,0,0,0,0
1,81,0,0,0,0,0,0
1,101,0,0,0,0,0,0
1,121,0,0,0,0,0,0
1,141,0,0,0,0,0,0
1,161,0,0,0,0,0,0
1,181,0,0,0,0,0,0
1,201,0,0,0,0,0,0
1,221,0,0,0,1,0,0
1,241,0,0,0,1,0,0
1,261,6,2,3,2,1,2
1,281,29,7,5,17,17,17
1,301,95,24,33,36,45,25
1,321,231,45,104,92,125,50
1,341,326,40,177,131,264,90
1,361,327,68,281,113,321,75
1,381,276,68,319,86,288,72
1,401,150,31,212,54,218,43
1,421,67,12,83,14,117,17
1,441,29,5,46,10,39,14
1,461,8,3,9,2,9,2
1,481,0,0,0,0,2,1
1,501,0,0,0,0,0,0
1,521,0,0,0,0,0,0
1,541,0,0,0,0,0,0
1,561,0,0,0,0,0,0
1,581,0,0,0,0,0,0
1,601,0,0,0,0,0,0
1,621,0,0,0,1,0,0
1,641,0,0,0,0,0,0
1,661,0,0,0,0,0,0
1,681,0,0,0,0,0,0
2,1,0,0,0,0,0,0
2,21,0,0,0,0,0,0
2,41,0,0,0,0,0,0
2,61,0,0,0,0,0,0
2,81,0,0,0,0,0,0
2,101,0,0,0,0,0,0
2,121,0,0,0,0,0,0
2,141,0,0,0,0,0,0
2,161,0,0,0,0,0,0
2,181,0,0,0,0,0,0
2,201,0,0,0,0,0,1
2,221,7,0,0,4,0,0
2,241,16,1,0,10,1,1
2,261,38,1,1,22,3,1
2,281,67,3,2,47,16,22
2,301,129,18,26,105,60,41
2,321,225,39,66,167,167,84
2,341,267,73,122,154,242,128
2,361,286,55,156,173,253,112
2,381,197,56,161,131,203,89
2,401,95,34,113,56,96,36
2,421,54,12,68,52,53,22
2,441,19,1,27,12,25,6
2,461,11,4,13,10,9,5
2,481,3,1,9,1,4,0
2,501,1,1,3,0,0,0
2,521,1,0,0,1,1,0
2,541,0,0,1,0,1,0
2,561,0,0,0,0,0,0
2,581,0,0,0,0,0,0
2,601,0,0,0,0,0,0
2,621,0,0,0,0,0,0
2,641,0,0,0,0,0,0
2,661,0,0,0,0,0,0
2,681,0,0,0,0,0,0
3,1,0,0,0,0,0,0
3,21,0,0,0,0,0,0
3,41,0,0,0,0,0,0
3,61,0,0,0,0,0,0
3,81,0,0,0,0,0,0
3,101,0,0,0,0,0,0
3,121,0,0,0,0,0,0
3,141,0,0,0,0,0,0
3,161,0,0,0,0,0,0
3,181,0,0,0,0,0,0
3,201,0,0,0,0,0,0
3,221,0,0,0,0,0,0
3,241,1,0,1,1,0,0
3,261,2,0,1,8,1,0
3,281,26,4,6,9,6,6
3,301,66,10,25,42,32,12
3,321,147,53,86,80,137,44
3,341,256,100,209,108,240,99
3,361,322,103,299,118,302,118
3,381,227,86,282,84,246,87
3,401,153,43,149,48,170,61
3,421,74,22,86,28,86,17
3,441,46,5,38,11,53,11
3,461,16,10,18,11,17,8
3,481,12,3,7,1,14,0
3,501,2,0,5,1,2,0
3,521,0,1,3,0,0,0
3,541,0,0,0,0,0,0
3,561,0,0,0,0,0,0
